generation,avg_training_score,avg_validation_score
0,18.5566881,18.2598293
1,20.750618579999994,19.97973018
2,20.861730199999997,20.166808060000005
3,20.923095560000007,20.088919739999998
4,21.25157138,20.566422519999996
5,21.25025378,20.33529884
6,21.5201245,20.629436440000003
7,21.61897759999999,20.738972759999996
8,21.630558780000005,20.796582139999995
9,21.65263093999999,20.98835856
10,21.72397214,20.88830758
11,21.666752479999996,20.749311
12,21.643157939999995,20.84984078
13,21.741982360000005,20.925743879999995
14,21.662304280000004,21.02149194
15,21.702938059999997,20.967114879999993
16,21.58235396,20.99390806
17,21.68069862,20.893021740000005
18,21.597946780000008,21.0828724
19,21.60381762,20.891849139999998
20,21.691753320000007,20.882817260000003
21,21.623502339999995,20.927211120000003
22,21.64060668,20.93220476
23,21.67672836,20.97650376000001
24,21.680933839999998,21.102967259999996
25,21.705957879999996,20.815540799999997
26,21.721698139999997,20.958832819999998
27,21.66829486000001,20.933275119999994
28,21.68057478,21.016623940000002
29,21.716983420000002,20.909309100000005
30,21.6431741,20.85532734
31,21.639182740000003,20.90435478
32,21.706180439999997,20.935022779999994
33,21.62901656,20.869402479999998
34,21.712066580000002,21.092492939999993
35,21.665961959999994,21.016720220000003
36,21.679390100000006,20.944906819999996
37,21.6470865,21.045285959999998
38,21.630397859999988,20.8234895
39,21.716601620000006,21.003860380000003
40,21.646036859999995,21.007795740000002
41,21.645866620000003,20.985195779999998
42,21.64608948,20.909004480000004
43,21.715925419999998,20.938528540000004
44,21.666438380000002,21.060923960000004
45,21.628761760000003,20.978286900000004
46,21.64813732,21.12697356
47,21.62736198,20.98297122
48,21.677644560000005,21.049916040000003
49,21.738949419999997,21.083367259999996
50,21.61831118,21.040070519999993
51,21.748982120000004,20.9351885
52,21.680556019999997,20.965735719999998
53,21.704636219999998,20.93443036
54,21.68612328,20.825576260000002
55,21.6911731,21.07986482
56,21.64295858,20.960134880000002
57,21.690860439999998,21.052048319999997
58,21.757606019999994,20.846366699999994
59,21.6715499,21.02527512
60,21.67654708,20.872687940000002
61,21.660241280000005,20.96228136
62,21.711127059999995,20.908634399999997
63,21.69959364,21.0189617
64,21.637718760000006,20.916278319999996
65,21.73057712,20.877704079999994
66,21.653477760000005,20.903966600000008
67,21.683452299999995,20.978057660000005
68,21.65635124,21.01844552
69,21.697718080000005,20.924715939999995
70,21.686531959999996,20.98320194
71,21.719254120000002,20.99293006
72,21.7106493,21.0377998
73,21.680163320000002,20.945008080000008
74,21.67224786,21.033285919999997
75,21.649416440000003,20.997560139999997
76,21.609100139999995,20.84411286
77,21.650235319999997,20.807101179999997
78,21.718888479999997,21.04669958
79,21.685291539999998,20.801694879999996
80,21.66192306,21.065602220000002
81,21.621484080000005,21.02432438
82,21.616345779999996,20.988145939999995
83,21.681721480000007,21.151445259999996
84,21.749721800000003,21.013712899999994
85,21.658356960000003,20.934460359999992
86,21.757808899999997,21.00785860000001
87,21.707101279999996,20.92081112
88,21.793445759999994,20.817954699999994
89,21.706414960000004,20.98729568
90,21.697379880000003,20.88473652
91,21.73030664,20.688388480000004
92,21.68911492,20.92624702
93,21.673759399999994,21.00805414
94,21.67955475999999,20.9342546
95,21.742337099999997,20.917292739999997
96,21.67942974,20.948622240000006
97,21.696205,20.972203460000006
98,21.63250448000001,21.042982379999998
99,21.675537159999998,20.947666520000002
100,21.66210762,20.916322679999993
101,21.70086884,20.955742259999994
102,21.64899492,20.985020039999995
103,21.70236652,21.069072860000002
104,21.64270442,20.900247359999998
105,21.687076039999997,20.937610460000005
106,21.688995079999998,20.98778498
107,21.73911399999999,20.938083699999996
108,21.680536940000003,21.041112240000004
109,21.650563280000007,20.89254144
110,21.682893420000006,20.963545580000005
111,21.712895160000002,20.87656832
112,21.673533360000008,20.90223186
113,21.620010719999996,21.02501344
114,21.746816440000003,20.848834179999997
115,21.683323820000002,21.03023650000001
116,21.66082212,20.924529779999997
117,21.66891176,20.9502769
118,21.680149320000005,20.978443439999996
119,21.654098520000005,21.045460300000006
120,21.743893479999993,20.945093180000004
121,21.664171560000003,21.07250188
122,21.836565259999997,21.04152472
123,21.693926500000003,21.05160568
124,21.713666859999993,21.112873880000002
125,21.730763799999995,20.942209319999996
126,21.655995759999996,20.86842903999999
127,21.710359459999996,20.953294259999996
128,21.72017597999999,20.94311676
129,21.74895878,21.012857779999994
130,21.69231318,21.09243198
131,21.673697179999994,20.993764080000002
132,21.676414859999994,20.93476332
133,21.648675480000005,21.010221439999995
134,21.68315834,20.99165532
135,21.67748566,21.010417900000007
136,21.6659889,21.04274991999999
137,21.781487740000003,20.96019125999999
138,21.663476020000004,20.874391599999996
139,21.648406299999998,20.972681419999994
140,21.69908394,20.849112699999992
141,21.691274720000003,21.03628373999999
142,21.707495560000005,21.03650836
143,21.637719999999998,21.0246134
144,21.688016660000002,20.948683799999998
145,21.652551659999993,20.9020066
146,21.707130200000005,20.927782200000003
147,21.65457992,20.986436500000003
148,21.700187860000007,21.05475312
149,21.724282680000005,20.86899095999999
150,21.678638840000005,21.185450139999993
151,21.6842277,21.085557019999996
152,21.660387800000002,20.924202699999995
153,21.663239839999996,20.983683679999995
154,21.727572799999994,20.97905486
155,21.64822191999999,20.925551260000002
156,21.72587736,20.996867660000003
